id	sentence	emotion	label
0	두팔 벌려 볼을 밝히며 눈을 접으며 입을 벌려 웃는다	2	0
1	눈을 감고 발그레 잔잔히 웃는다	2	1
2	행복한 빛이 나는 하루야	2	2
3	둠칫둠칫 신난다	2	3
4	신난다 재미난다	2	4
5	나는 너를 좋아해	2	5
6	별빛 팡팡 기분 좋아	2	6
7	노래가 너무 좋아서 춤이 나오네	2	7
8	삐약삐약	2	8
9	방실방실 웃게 되네	2	9
10	날아갈 것 같아	2	10
11	응원해 친구야 화이팅	2	11
12	뭔지 모르게 기분이 좋은걸	2	12
13	와 너무 신나!! 고마워	2	13
14	방긋방긋 웃기다	2	14
15	볼을 밝히고 방싯 하트와 함께 웃고있다	2	15
16	양 팔로 하트를 날리면서 신나한다	2	16
17	방싯방싯 볼을 밝히며 웃는다	2	17
18	초롱초롱한 눈으로 두 팔을 들어 기뻐한다	2	18
19	병아리 얼굴로 양 팔을 들고 볼을 밝히며 잔잔히 기뻐한다	2	19
20	귀를 쫑긋 세우고 귀여운 척을 하고 있다	2	20
21	감동받은 표정으로 하트를 보여준다	2	21
22	나 너무 신나! 너를 향해 달려가고 있어	2	22
23	얘들아 여기야 여기! 내가 자리 맡아놨어 잘했지	2	23
24	이 몸이 나가신다!	2	24
25	애매모호하게 기뻐하고 있는 고양이	2	25
26	힘 내서 일할 수 있을 것 같은 기분이 드는걸	2	26
27	역시 나밖에 없지? 나한테 잘해	2	27
28	안녕! 나 지금 너무 신나서 음악에 춤추는 중이야	2	28
29	마음 속 깊이 사랑을 느껴	2	29
30	강아지가 잔잔하게 하트와 함께 웃고 있다	2	30
31	소심하게 웃고 있는 돼지	2	31
32	해피데이	2	0
33	오늘은 푹 잘수 있겠다	2	1
34	내가 제일 빛나	2	2
35	춤추는 작은 까탈레나	2	3
36	오늘도 알찼다	2	4
37	우리 내일 보는거지?	2	5
38	여기서 내가 제일 빛나	2	6
39	댄스타임	2	7
40	내가 이구역의 신이다	2	8
41	내일 놀러갈거다	2	9
42	무대를 뒤집어 놓으셨다	2	10
43	최고다 ○○○!	2	11
44	잘자고 내일 봐	2	12
45	니가 최고야	2	13
46	팔동동	2	14
47	내 마음이야 받아줘	2	15
48	애교 발사	2	16
49	내일은 쉬어도 되겠지~?	2	17
50	빤짝이 뿌려줄게	2	18
51	치킨 사왔다	2	19
52	내가 좀 귀엽긴 해	2	20
53	하트 좀 받아볼래?	2	21
54	지금 달려갈게	2	22
55	텐션 오른다 달려!	2	23
56	이몸 강림	2	24
57	신나서 몸을 흔드는 고양	2	25
58	힘차고 강한 아침	2	26
59	그대의 눈동자에 건배	2	27
60	이 비트를 어떻게 참는데	2	28
61	하트가 한개로는 모자라더라고	2	29
62	날 사랑하는게 우리집 개밖에 없다	2	30
63	말하는 아기돼지	2	31
64	너가 다시 돌아와서 기뻐!	2	0
65	그런 말을 들으니 부끄러우면서도 기분이 참 좋네	2	1
66	너의 미래가 항상 반짝이길	2	2
67	노래에 맞춰 신나게 춤을 춰봐요	2	3
68	오늘도 좋은 하루 보내	2	4
69	벌써 보고 싶어	2	5
70	깜찍하게 찡그리는 표정	2	6
71	신나서 어깨 춤이 멈추지 않아	2	7
72	귀여운 병아리	2	8
73	너무 좋아서 얼굴에 보조개가 비친다	2	9
74	모두 같이 만세!	2	10
75	내가 팔이 구부러지도록 응원할게	2	11
76	흐뭇하게 미소 짓는다	2	12
77	너한테 별이랑 사랑 모두 줄 수 있어	2	13
78	덕분에 재밌었어	2	14
79	오늘은 어제보다 널 더 좋아해	2	15
80	내 사랑을 받아라!!	2	16
81	헤헤, 부끄럽게 왜 그래	2	17
82	시험 잘 보고 와~	2	18
83	드디어 해냈구나 축하해	2	19
84	기분이 좋아 보이는 귀여운 토끼	2	20
85	너에게 좋아하는 마음을 전달하고 싶어	2	21
86	너 볼 생각에 신나게 달려가는 중!	2	22
87	다들 잘 지냈나?!	2	23
88	여러분들 이쪽으로 오세요!	2	24
89	눈을 부릅뜨고 기대하고 있는 고양이	2	25
90	오늘도 기운내서 일을 해볼까	2	26
91	내 마음 알지? 찡긋~	2	27
92	노랫소리에 춤이 멈추지가 않아	2	28
93	부끄럽지만 너에게 하트를 보내본	2	29
94	사랑스럽게 마중 나와 있는 우리집 강아지	2	30
95	소소하게 웃고 있는 돼지	2	31
96	오늘 아침 너무 상쾌하다	2	0
97	기분 좋아서 볼이 상기 됐어	2	1
98	드디어 시험이 끝났다 홀가분해	2	2
99	노래가 너무 신나서 몸이 움직여.	2	3
100	정우야 너를 응원하고 있어 화이팅.	2	4
101	얼굴을 맞대고 좋아한다.	2	5
