,sentence,label
26552,유재석 오라버니 해피투게더 봤어요,2
50564,우리 집은 모두 학력이 좋아. 근데 나는 너무 평범해서 가족에게 누를 끼치는 기분이야.,1
19183,당뇨가 있어서 매일 운동을 해야하는데 함께 운동 해 주는 동네 언니가 있어서 너무 좋아.,2
57746,40되면 노산 될 확률때매 요즘 인공수정도 많이 함,1
28352,남편이 퇴직금으로 시작한 주식 투자를 잘못해서 크게 손해를 봤다는데 화가 나서 미칠 지경이야.,3
2818,아내는 화가 나면 이성을 잃어서 말을 너무 심하게 해. 상처가 될 정도로 심한 말을 해.,0
4981,열심히 일해서 돈벌었는데 몸이 아프니 다 필요가 없네.,0
1984,오늘 면접인데 준비를 너무 못했어.,0
45480,동호회에서 등산을 하다가 실수로 코스를 이탈하는 바람에 낙오돼 버렸어.,1
54725,집을 팽개쳐두고 내 앞길만 가려니 마음이 쓰인다.,1
17645,내가 정말 갖고 싶었던 가방을 남자 친구가 사줘서 너무 행복해.,2
44817,분명 아파서 병원에 찾아갔더니 건강염려증이라고 돌려보내더라니까? 내참 어이가 없어서.,1
7378,업무에 대한 스트레스가 너무 커서 슬퍼.,0
47130,진로를 공부로 갈 지 체육으로 가야할지 혼란스러워.,1
33121,난 잘못 한 거 없는데 노인정에 사람들이 이제 오지 말라잖아.,3
20054,오늘은 지인들한테 감사 문자를 다 돌렸어.,2
2751,부모님은 친구분들에게 내가 아들이란 말도 안 했나 봐. 너무 서러워.,0
4577,상사에게 영업 능력을 인정받고 싶었는데 매번 꾸지람만 듣고있어서 우울해.,0
18082,회사에서 전 직원에게 특별 보너스를 지급하기로 해서 너무 기뻐!,2
33360,남자친구와 빨리 결혼하고 싶은데 아직 결혼할 만큼 충분한 돈을 모으지 못했어. 다들 결혼하는데 나만 못하고 있는 것 같아.,3
33559,성적 지향이 다른 것을 나쁜 것이라고 상사가 이야기했어. 상사를 보자 화가 치밀었어.,3
62,그동안 너무 즐기면서 살아서 후회돼. 미래를 계획했어야 했는데 저축을 안 해서 돈이 없어.,0
33491,친구들이 나한테 가방을 계속 들어달라고 해서 너무 화나.,3
37841,저놈 지금 지옥에서 팔딱팔딱 영원히,3
20948,귀가따뜻핼.ㅎㅎ,2
18618,옆집 아가씨가 직접 가져다 준 김치전이 만족스러울 만큼 맛있더라구.,2
1752,오늘 회사에서 다른 사람들 앞에서 과장님한테 혼이 났는데 정말 창피하고 눈물이 쏟아질 것 같았어.,0
2858,이제는 남자 친구를 봐도 설레지가 않고 내 마음이 예전 같지가 않아서 슬프다.,0
52627,헉 오마베......,1
25114,어떤가요 이쁜가요♡,2
30903,내가 가족들한테 꼴 보기 싫다고 하면서 욕을 해서 마음이 좋지 않아.,3
6416,오늘은 내 탄생일이야.,0
13120,아버지 주식하느라 제돈 다 뺏기고 250남았습니다.,0
11064,제가 먼저 그만하자 했는데 이러는건 너무 이기적이죠?,0
48381,우리 학급에 조용한 여학생이 있는데 계속 아이들이 따돌려.,1
27407,혈액암 말기였는데 눈에 띄게 호전돼서 기분이 날아갈 것 같아.,2
2561,직장 동료가 프린트 용지를 자꾸 집에 가져 가. 친한 동료였는데 너무 실망스러워.,0
36860,학교생활이 너무 힘들어. 왕따를 당하고 있는데 부모님께 말씀도 못 드리고 있어.,3
35151,집안일을 하다가 말한 대로 안 되면 가족들에게 짜증을 내버리는 나 자신이 지긋지긋해.,3
9160,사실 무도에서 컴백이 힘들거라는 말 듣고 많이 슬펐어요 ㅜㅜ,0
